ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_adnyamathanhaadny1235,Adnyamathanha_adny1235,adny1235,adt,Adnyamathanha,Pama-Nyungan,-30.1451,138.671,varikin,Adnyamathanha_adny1235.txt,NA,,NA,Varikin
v_aghulaghu1253,Aghul_aghu1253,aghu1253,agx,Aghul,Nakh-Daghestanian,41.9242,47.5843,varikin,Aghul_aghu1253.txt,NA,,NA,Varikin
v_aguarunaagua1253,Aguaruna_agua1253,agua1253,agr,Aguaruna,,-5.30044,-77.9218,varikin,Aguaruna_agua1253.txt,NA,,NA,Varikin
v_akhvakhnorthernakhvakhakhv1239,Akhvakh_Northern_Akhvakh__akhv1239,akhv1239,akv,Akhvakh,Nakh-Daghestanian,42.4003,46.3037,varikin,Akhvakh_Northern_Akhvakh__akhv1239.txt,NA,,NA,Varikin
v_akkadianakka1240,Akkadian_akka1240,akka1240,akk,Akkadian,Afro-Asiatic,33.1,44.1,varikin,Akkadian_akka1240.txt,NA,,NA,Varikin
v_albanianalba1267,Albanian_alba1267,alba1267,sqi,Albanian,Indo-European,,,varikin,Albanian_alba1267.txt,NA,,NA,Varikin
v_albaniantosktosk1239,Albanian_Tosk__tosk1239,tosk1239,als,Northern Tosk Albanian,Indo-European,41,20,varikin,Albanian_Tosk__tosk1239.txt,NA,,NA,Varikin
v_alyawarralya1239,Alyawarr_alya1239,alya1239,aly,Alyawarr,Pama-Nyungan,-21.0427,136.835,varikin,Alyawarr_alya1239.txt,NA,,NA,Varikin
v_amharicamha1245,Amharic_amha1245,amha1245,amh,Amharic,Afro-Asiatic,11.708182,39.543456,varikin,Amharic_amha1245.txt,NA,,NA,Varikin
v_amisamis1246,Amis_amis1246,amis1246,ami,Amis,Austronesian,23.0917,121.348,varikin,Amis_amis1246.txt,NA,,NA,Varikin
v_ancientgreekanci1242,Ancient_Greek_anci1242,anci1242,grc,Ancient Greek,Indo-European,39.8155,21.9129,varikin,Ancient_Greek_anci1242.txt,NA,,NA,Varikin
v_andiandi1255,Andi_andi1255,andi1255,ani,Andi,Nakh-Daghestanian,42.8078,46.2919,varikin,Andi_andi1255.txt,NA,,NA,Varikin
v_angaiteanga1316,Angaite_anga1316,anga1316,aqt,Angaité,,-22.85,-58.45,varikin,Angaite_anga1316.txt,NA,,NA,Varikin
v_arabanaarab1267,Arabana_arab1267,arab1267,ard,Arabana,Pama-Nyungan,-28.705,135.449,varikin,Arabana_arab1267.txt,NA,,NA,Varikin
v_archiarch1244,Archi_arch1244,arch1244,aqc,Archi,Nakh-Daghestanian,42.3239,46.8267,varikin,Archi_arch1244.txt,NA,,NA,Varikin
v_arizonayaquiyaqu1251a,Arizona_Yaqui_yaqu1251a,yaqu1251,yaq,Yaqui,Uto-Aztecan,29.9446,-110.681,varikin,Arizona_Yaqui_yaqu1251a.txt,NA,,NA,Varikin
v_armeniannucl1235,Armenian_nucl1235,nucl1235,hye,Eastern Armenian,Indo-European,40,45,varikin,Armenian_nucl1235.txt,NA,,NA,Varikin
v_assameseassa1263,Assamese_assa1263,assa1263,asm,Assamese,Indo-European,26.0876,91.2932,varikin,Assamese_assa1263.txt,NA,,NA,Varikin
v_asutanzaniaasut1235,Asu_Tanzania__asut1235,asut1235,asa,Asu (Tanzania),Atlantic-Congo,-4.17978,37.8323,varikin,Asu_Tanzania__asut1235.txt,NA,,NA,Varikin
v_atayalatay1247,Atayal_atay1247,atay1247,tay,Atayal,Austronesian,24.5209,121.388,varikin,Atayal_atay1247.txt,NA,,NA,Varikin
v_atsugewiatsu1245,Atsugewi_atsu1245,atsu1245,atw,Atsugewi,,40.4271,-120.661,varikin,Atsugewi_atsu1245.txt,NA,,NA,Varikin
v_avarancuxancu1238,Avar_Ancux__ancu1238,ancu1238,,Ancux,Nakh-Daghestanian,,,varikin,Avar_Ancux__ancu1238.txt,NA,,NA,Varikin
v_avarandalalanda1281,Avar_Andalal__anda1281,anda1281,,Andalal-Gxdatl,Nakh-Daghestanian,,,varikin,Avar_Andalal__anda1281.txt,NA,,NA,Varikin
v_avaravar1256,Avar_avar1256,avar1256,ava,Avar,Nakh-Daghestanian,41.7047,46.558,varikin,Avar_avar1256.txt,NA,,NA,Varikin
v_avarbatluxbatl1238,Avar_Batlux__batl1238,batl1238,,Batlux,Nakh-Daghestanian,,,varikin,Avar_Batlux__batl1238.txt,NA,,NA,Varikin
v_avarhiddialecthidd1238,Avar_Hid_dialect__hidd1238,hidd1238,,Hid,Nakh-Daghestanian,,,varikin,Avar_Hid_dialect__hidd1238.txt,NA,,NA,Varikin
v_avazkhunzakhkunz1243,Avaz_Khunzakh__kunz1243,kunz1243,,Kunzakh,Nakh-Daghestanian,,,varikin,Avaz_Khunzakh__kunz1243.txt,NA,,NA,Varikin
v_avestanaves1237,Avestan_aves1237,aves1237,ave,Avestan,Indo-European,31.541,53.633,varikin,Avestan_aves1237.txt,NA,,NA,Varikin
v_ayoreoayor1240,Ayoreo_ayor1240,ayor1240,ayo,Ayoreo,,-19.220055,-60.217495,varikin,Ayoreo_ayor1240.txt,NA,,NA,Varikin
v_aztecclas1250,Aztec_clas1250,clas1250,nci,Classical Nahuatl,Uto-Aztecan,19.72,-96.97,varikin,Aztec_clas1250.txt,NA,,NA,Varikin
v_badimayabadi1246,Badimaya_badi1246,badi1246,bia,Badimaya,Pama-Nyungan,-29.0647,117.246,varikin,Badimaya_badi1246.txt,NA,,NA,Varikin
v_bafiabafi1243,Bafia_bafi1243,bafi1243,ksf,Bafia,Atlantic-Congo,4.72603,11.0982,varikin,Bafia_bafi1243.txt,NA,,NA,Varikin
v_bahvalalbagv1239,Bahvalal_bagv1239,bagv1239,kva,Bagvalal,Nakh-Daghestanian,42.3966,46.1041,varikin,Bahvalal_bagv1239.txt,NA,,NA,Varikin
v_balicongobali1274,Bali_Congo__bali1274,bali1274,bcp,Bali (Democratic Republic of Congo),Atlantic-Congo,1.1807,26.5941,varikin,Bali_Congo__bali1274.txt,NA,,NA,Varikin
v_balidrcbali1275,Bali_DRC__bali1275,bali1275,,Bali,Atlantic-Congo,,,varikin,Bali_DRC__bali1275.txt,NA,,NA,Varikin
v_balochibalo1260,Balochi_balo1260,balo1260,,Balochic,Indo-European,,,varikin,Balochi_balo1260.txt,NA,,NA,Varikin
v_bamunbamu1253,Bamun_bamu1253,bamu1253,bax,Bamun,Atlantic-Congo,5.49017,10.8477,varikin,Bamun_bamu1253.txt,NA,,NA,Varikin
v_bandjalangband1339,Bandjalang_band1339,band1339,,Bandjalangic,Pama-Nyungan,-28.3458,152.859,varikin,Bandjalang_band1339.txt,NA,,NA,Varikin
v_bannockbann1248,Bannock_bann1248,bann1248,,Bannock,Uto-Aztecan,,,varikin,Bannock_bann1248.txt,NA,,NA,Varikin
v_baribari1297,Bari_bari1297,bari1297,mot,Barí,,9.08497,-72.9353,varikin,Bari_bari1297.txt,NA,,NA,Varikin
